levels,pairspace_dim,g,eta,exact_pairspace_energy,source_pair_norm,bcs_pair_norm,relative_source_profile_error,leading_pair_density_eigenvalue,relative_pair_density_residual
7,128,0.7,0.0005414548164181542,-12.757987073495684,0.00676382928014579,1.221170936797736,0.9944695581071116,2.010960594455507,0.4488653868901727
7,128,0.7,0.001259921049894874,-12.758029630498438,0.015737381825982905,1.221170936797736,0.9871324813952385,2.010956391105764,0.44886332063544376
7,128,0.7,0.0029317331822241717,-12.758259987322456,0.036600776875403744,1.221170936797736,0.9700745251403606,2.0109336571699474,0.44885214377083404
7,128,0.7,0.006821903207721965,-12.759505217159123,0.08493109699428256,1.221170936797736,0.9305632706864502,2.010811300344888,0.4487919456889311
7,128,0.7,0.015874010519682003,-12.766188664880353,0.1947370790927401,1.221170936797736,0.8408163308850688,2.01016968856818,0.44847505499509493
7,128,0.7,0.036937523489595184,-12.800809564181618,0.4214609804128311,1.221170936797736,0.655647562304282,2.0072128349530995,0.44698286671137233
7,128,0.7,0.08595059451754268,-12.957562562521106,0.7508352628812667,1.221170936797736,0.38734634802486195,1.998887200628877,0.44220797527123634
7,128,0.7,0.2,-13.50150698382656,1.0007647676301952,1.221170936797736,0.1855699231674612,1.9918823947123108,0.4332744010601189
8,256,0.7,0.0001,-15.522448408125172,0.007078826025435746,1.3323821187275866,0.994693070567001,2.2665211537117713,0.3548250716780485
8,256,0.7,0.00023269181687763618,-15.522457216200637,0.016469082530635903,1.3323821187275866,0.9876533825088804,2.2665202121879227,0.354832870492373
8,256,0.7,0.0005414548164181542,-15.522504882288427,0.03828741242716589,1.3323821187275866,0.9712970640799207,2.2665151267435215,0.35487503207980103
8,256,0.7,0.001259921049894874,-15.522762225008137,0.08865727231065908,1.3323821187275866,0.9335393610255492,2.2664879526667003,0.3551014166806012
8,256,0.7,0.0029317331822241717,-15.524134417612377,0.20108236460856824,1.3323821187275866,0.8492792316997649,2.2663507226432404,0.3562741586905161
8,256,0.7,0.006821903207721965,-15.531035372977257,0.415660574580438,1.3323821187275866,0.6885354482331825,2.2658186181882143,0.3614037459091182
8,256,0.7,0.015874010519682003,-15.559841532887333,0.6695727802251986,1.3323821187275866,0.49855473585691473,2.2649546533324547,0.3743684820968797
8,256,0.7,0.036937523489595184,-15.651577999161336,0.8386752377980452,1.3323821187275866,0.37225924101686747,2.2648428219033656,0.3876180816837995
8,256,0.7,0.08595059451754268,-15.904886662961605,0.9762431029521264,1.3323821187275866,0.2697110410321097,2.264785883825901,0.39299811552270114
8,256,0.7,0.2,-16.58652646808891,1.1209560660431521,1.3323821187275866,0.16240359183331968,2.263696445957074,0.39050815755036544
